Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temperature Difference,Wear Torque Ratio,Machanical Stress,Thermal Stress
2,303.4,312.2,1972,23.5,59,0,8.800000000000011,0.9833333333333333,46342.0,94721.48
0,303.4,312.3,1522,42.1,62,0,8.900000000000034,0.9841269841269841,64076.200000000004,94751.81999999999
1,303.4,312.3,1680,30.6,67,0,8.900000000000034,0.9852941176470589,51408.0,94751.81999999999
1,303.4,312.3,1502,36.0,69,0,8.900000000000034,0.9857142857142858,54072.0,94751.81999999999
2,303.5,312.3,1543,33.3,71,0,8.800000000000011,0.9861111111111112,51381.899999999994,94783.05
1,303.5,312.3,1584,35.2,74,0,8.800000000000011,0.9866666666666667,55756.8,94783.05
1,303.5,312.4,1340,44.5,76,0,8.899999999999977,0.987012987012987,59630.0,94813.4
1,303.4,312.3,1663,33.9,78,0,8.900000000000034,0.9873417721518988,56375.7,94751.81999999999
2,303.3,312.1,1693,30.0,80,0,8.800000000000011,0.9876543209876543,50790.0,94659.93000000001
1,303.3,312.1,1418,44.7,83,0,8.800000000000011,0.9880952380952381,63384.600000000006,94659.93000000001
0,303.4,312.2,1554,36.8,85,0,8.800000000000011,0.9883720930232558,57187.2,94721.48
1,303.4,312.2,1580,35.8,90,0,8.800000000000011,0.989010989010989,56563.99999999999,94721.48
1,303.4,312.3,1479,42.8,92,0,8.900000000000034,0.989247311827957,63301.2,94751.81999999999
1,303.5,312.4,1284,70.6,94,1,8.899999999999977,0.9894736842105263,90650.4,94813.4
1,303.4,312.3,1540,38.7,96,0,8.900000000000034,0.9896907216494846,59598.00000000001,94751.81999999999
2,303.5,312.4,1606,30.1,98,0,8.899999999999977,0.98989898989899,48340.600000000006,94813.4
1,303.6,312.5,1286,62.4,101,0,8.899999999999977,0.9901960784313726,80246.4,94875.0
1,303.6,312.6,1502,39.5,103,0,9.0,0.9903846153846154,59329.0,94905.36000000002
2,303.6,312.7,1699,31.5,105,0,9.099999999999966,0.9905660377358491,53518.5,94935.72
1,303.5,312.6,1602,34.2,108,0,9.100000000000023,0.9908256880733946,54788.4,94874.1
0,303.6,312.6,1436,42.0,110,0,9.0,0.990990990990991,60312.0,94905.36000000002
2,303.6,312.7,1765,27.5,115,0,9.099999999999966,0.9913793103448276,48537.5,94935.72
1,303.6,312.7,1418,44.1,118,0,9.099999999999966,0.9915966386554622,62533.8,94935.72
2,303.7,312.7,1669,31.7,120,0,9.0,0.9917355371900827,52907.299999999996,94966.98999999999
1,303.7,312.7,1395,53.9,123,0,9.0,0.9919354838709677,75190.5,94966.98999999999
2,303.8,312.7,1500,41.7,125,0,8.899999999999977,0.9920634920634921,62550.00000000001,94998.26
2,303.8,312.7,1555,33.4,128,0,8.899999999999977,0.9922480620155039,51937.0,94998.26
2,303.8,312.7,1919,20.2,131,0,8.899999999999977,0.9924242424242424,38763.799999999996,94998.26
1,303.8,312.7,1596,36.6,134,0,8.899999999999977,0.9925925925925926,58413.600000000006,94998.26
2,303.8,312.7,1374,53.6,136,0,8.899999999999977,0.9927007299270073,73646.40000000001,94998.26
1,303.7,312.5,1670,26.1,139,0,8.800000000000011,0.9928571428571429,43587.0,94906.25
1,303.7,312.6,1702,29.1,141,0,8.900000000000034,0.9929577464788732,49528.200000000004,94936.62000000001
2,303.8,312.5,1366,45.1,143,0,8.699999999999989,0.9930555555555556,61606.6,94937.5
2,303.8,312.5,2344,15.2,146,0,8.699999999999989,0.9931972789115646,35628.799999999996,94937.5
2,303.8,312.6,1768,23.9,149,0,8.800000000000011,0.9933333333333333,42255.2,94967.88
1,303.8,312.5,1523,47.0,152,0,8.699999999999989,0.9934640522875817,71581.0,94937.5
1,303.8,312.6,1735,25.9,154,0,8.800000000000011,0.9935483870967742,44936.5,94967.88
1,303.9,312.7,1339,62.3,156,0,8.800000000000011,0.9936305732484076,83419.7,95029.52999999998
1,303.9,312.7,1800,24.3,158,0,8.800000000000011,0.9937106918238994,43740.0,95029.52999999998
2,304.0,312.7,1456,51.2,160,0,8.699999999999989,0.9937888198757764,74547.2,95060.8
1,303.9,312.7,1789,24.4,163,0,8.800000000000011,0.9939024390243902,43651.6,95029.52999999998
1,303.9,312.7,1602,33.9,165,0,8.800000000000011,0.9939759036144579,54307.799999999996,95029.52999999998
2,303.8,312.7,1364,49.3,167,0,8.899999999999977,0.9940476190476191,67245.2,94998.26
1,303.8,312.6,1793,28.1,170,0,8.800000000000011,0.9941520467836257,50383.3,94967.88
1,303.9,312.6,1426,53.4,172,0,8.700000000000045,0.9942196531791907,76148.4,94999.14
2,303.9,312.7,1485,43.3,174,0,8.800000000000011,0.9942857142857143,64300.49999999999,95029.52999999998
1,303.9,312.7,1528,38.4,177,0,8.800000000000011,0.9943820224719101,58675.2,95029.52999999998
1,303.8,312.6,1565,36.0,179,0,8.800000000000011,0.9944444444444445,56340.0,94967.88
1,303.8,312.7,1838,27.8,181,0,8.899999999999977,0.9945054945054945,51096.4,94998.26
0,303.8,312.6,1811,24.9,183,0,8.800000000000011,0.9945652173913043,45093.899999999994,94967.88
1,303.8,312.7,1461,38.2,188,0,8.899999999999977,0.9947089947089947,55810.200000000004,94998.26
1,303.8,312.7,1414,41.7,190,0,8.899999999999977,0.9947643979057592,58963.8,94998.26
1,303.7,312.7,1426,45.5,192,0,9.0,0.9948186528497409,64883.0,94966.98999999999
1,303.7,312.7,1359,56.8,194,1,9.0,0.9948717948717949,77191.2,94966.98999999999
1,303.7,312.7,1540,44.8,196,0,9.0,0.9949238578680203,68992.0,94966.98999999999
1,303.6,312.7,1429,47.7,198,0,9.099999999999966,0.9949748743718593,68163.3,94935.72
2,303.7,312.7,1612,36.3,200,0,9.0,0.9950248756218906,58515.6,94966.98999999999
2,303.7,312.8,1685,31.8,203,0,9.100000000000023,0.9950980392156863,53583.0,94997.36
2,303.7,312.8,1558,37.7,206,0,9.100000000000023,0.9951690821256038,58736.600000000006,94997.36
1,303.7,313.0,1811,24.3,209,0,9.300000000000011,0.9952380952380953,44007.3,95058.09999999999
1,303.8,313.1,1869,25.8,211,0,9.300000000000011,0.9952830188679245,48220.200000000004,95119.78000000001
1,303.8,313.1,1256,58.7,213,1,9.300000000000011,0.9953271028037384,73727.2,95119.78000000001
2,303.8,313.0,1789,23.5,215,0,9.199999999999989,0.9953703703703703,42041.5,95089.40000000001
1,303.7,312.9,1502,40.5,0,0,9.199999999999989,0.0,60831.0,95027.73
2,303.7,313.0,1303,54.4,2,0,9.300000000000011,0.6666666666666666,70883.2,95058.09999999999
1,303.8,313.1,2497,13.0,5,1,9.300000000000011,0.8333333333333334,32461.0,95119.78000000001
1,303.9,313.2,1499,37.4,7,0,9.300000000000011,0.875,56062.6,95181.48
1,303.9,313.2,1393,46.5,9,0,9.300000000000011,0.9,64774.5,95181.48
2,303.9,313.0,1475,41.0,11,0,9.100000000000023,0.9166666666666666,60475.0,95120.7
1,303.8,312.9,1573,34.6,14,0,9.099999999999966,0.9333333333333333,54425.8,95059.01999999999
1,303.8,312.9,1819,23.7,16,0,9.099999999999966,0.9411764705882353,43110.299999999996,95059.01999999999
2,303.5,312.6,1642,29.4,18,0,9.100000000000023,0.9473684210526315,48274.799999999996,94874.1
1,303.6,312.6,1540,39.8,21,0,9.0,0.9545454545454546,61291.99999999999,94905.36000000002
2,303.6,312.8,1400,43.2,23,0,9.199999999999989,0.9583333333333334,60480.00000000001,94966.08000000002
2,303.6,312.8,2659,11.4,26,1,9.199999999999989,0.9629629629629629,30312.600000000002,94966.08000000002
2,303.6,312.8,1825,25.2,29,0,9.199999999999989,0.9666666666666667,45990.0,94966.08000000002
2,303.7,312.9,1532,41.3,32,0,9.199999999999989,0.9696969696969697,63271.6,95027.73
1,303.7,312.8,1832,23.6,35,0,9.100000000000023,0.9722222222222222,43235.200000000004,94997.36
2,303.6,312.7,2174,17.6,37,0,9.099999999999966,0.9736842105263158,38262.4,94935.72
1,303.7,312.8,1627,31.7,40,0,9.100000000000023,0.975609756097561,51575.9,94997.36
1,303.7,312.8,1437,51.3,42,0,9.100000000000023,0.9767441860465116,73718.09999999999,94997.36
1,303.7,312.8,1364,46.3,44,0,9.100000000000023,0.9777777777777777,63153.2,94997.36
2,303.7,312.9,1444,52.7,46,0,9.199999999999989,0.9787234042553191,76098.8,95027.73
2,303.7,312.8,1366,47.3,49,0,9.100000000000023,0.98,64611.799999999996,94997.36
1,303.8,312.9,1442,48.3,52,0,9.099999999999966,0.9811320754716981,69648.59999999999,95059.01999999999
0,303.7,312.8,1488,42.8,54,0,9.100000000000023,0.9818181818181818,63686.399999999994,94997.36
1,303.7,312.8,1523,40.7,59,0,9.100000000000023,0.9833333333333333,61986.100000000006,94997.36
1,303.7,312.8,1543,38.3,61,0,9.100000000000023,0.9838709677419355,59096.899999999994,94997.36
2,303.7,312.8,1634,33.8,63,0,9.100000000000023,0.984375,55229.2,94997.36
2,303.8,312.9,1815,27.8,66,0,9.099999999999966,0.9850746268656716,50457.0,95059.01999999999
2,303.8,312.9,1594,35.2,69,0,9.099999999999966,0.9857142857142858,56108.8,95059.01999999999
1,303.8,313.0,1452,38.6,72,0,9.199999999999989,0.9863013698630136,56047.200000000004,95089.40000000001
1,303.9,313.0,1759,28.4,74,0,9.100000000000023,0.9866666666666667,49955.6,95120.7
1,303.9,313.0,1408,47.5,76,0,9.100000000000023,0.987012987012987,66880.0,95120.7
1,303.9,313.0,1483,45.0,78,0,9.100000000000023,0.9873417721518988,66735.0,95120.7
2,303.9,313.0,1620,36.6,80,0,9.100000000000023,0.9876543209876543,59292.0,95120.7
2,304.0,313.1,1466,39.5,83,0,9.100000000000023,0.9880952380952381,57907.0,95182.40000000001
1,304.1,313.1,1556,36.3,86,0,9.0,0.9885057471264368,56482.799999999996,95213.71000000002
1,304.0,313.0,1350,61.1,88,0,9.0,0.9887640449438202,82485.0,95152.0
1,304.0,313.1,1404,47.1,90,0,9.100000000000023,0.989010989010989,66128.40000000001,95182.40000000001
2,304.0,313.0,1575,34.5,92,0,9.0,0.989247311827957,54337.5,95152.0
1,303.9,313.1,1639,29.0,95,0,9.200000000000045,0.9895833333333334,47531.0,95151.09
2,303.9,313.1,1473,42.8,97,0,9.200000000000045,0.9897959183673469,63044.399999999994,95151.09
1,303.9,313.2,1481,40.0,100,0,9.300000000000011,0.9900990099009901,59240.0,95181.48
1,304.0,313.3,1294,54.6,102,0,9.300000000000011,0.9902912621359223,70652.40000000001,95243.2
2,303.9,313.2,1630,29.3,104,0,9.300000000000011,0.9904761904761905,47759.0,95181.48
2,303.9,313.2,1624,39.8,107,0,9.300000000000011,0.9907407407407407,64635.2,95181.48
2,303.9,313.1,1437,48.3,110,0,9.200000000000045,0.990990990990991,69407.09999999999,95151.09
2,303.8,313.0,1514,45.0,113,0,9.199999999999989,0.9912280701754386,68130.0,95089.40000000001
2,304.0,313.1,1694,31.4,116,0,9.100000000000023,0.9914529914529915,53191.6,95182.40000000001
1,304.0,313.1,1564,50.9,119,0,9.100000000000023,0.9916666666666667,79607.59999999999,95182.40000000001
2,303.9,313.1,1514,41.1,121,0,9.200000000000045,0.9918032786885246,62225.4,95151.09
2,304.0,313.2,1500,40.6,124,0,9.199999999999989,0.992,60900.0,95212.8
1,304.0,313.2,1615,37.8,127,0,9.199999999999989,0.9921875,61046.99999999999,95212.8
2,304.1,313.2,1586,41.1,129,0,9.099999999999966,0.9923076923076923,65184.600000000006,95244.12000000001
1,304.1,313.3,1732,28.5,132,0,9.199999999999989,0.9924812030075187,49362.0,95274.53000000001
0,304.1,313.3,1689,32.5,134,0,9.199999999999989,0.9925925925925926,54892.5,95274.53000000001
0,304.1,313.2,1586,34.6,139,0,9.099999999999966,0.9928571428571429,54875.600000000006,95244.12000000001
1,304.0,313.2,1314,47.1,144,0,9.199999999999989,0.993103448275862,61889.4,95212.8
1,304.1,313.2,1569,35.8,146,0,9.099999999999966,0.9931972789115646,56170.2,95244.12000000001
1,304.1,313.2,1468,39.4,148,0,9.099999999999966,0.9932885906040269,57839.2,95244.12000000001
1,304.1,313.2,1412,47.5,150,0,9.099999999999966,0.9933774834437086,67070.0,95244.12000000001
2,304.1,313.2,1510,46.9,152,0,9.099999999999966,0.9934640522875817,70819.0,95244.12000000001
2,304.1,313.2,1410,42.4,155,0,9.099999999999966,0.9935897435897436,59784.0,95244.12000000001
2,304.1,313.3,1680,29.3,158,0,9.199999999999989,0.9937106918238994,49224.0,95274.53000000001
0,304.0,313.2,1271,68.6,161,1,9.199999999999989,0.9938271604938271,87190.59999999999,95212.8
0,304.0,313.1,1472,45.5,166,0,9.100000000000023,0.9940119760479041,66976.0,95182.40000000001
0,304.0,313.0,1701,30.4,171,0,9.0,0.9941860465116279,51710.399999999994,95152.0
1,303.9,313.0,1480,39.9,176,0,9.100000000000023,0.9943502824858758,59052.0,95120.7
1,303.9,313.0,1433,48.4,178,0,9.100000000000023,0.994413407821229,69357.2,95120.7
1,303.8,312.9,1514,34.3,180,0,9.099999999999966,0.994475138121547,51930.2,95059.01999999999
1,303.8,312.9,1619,35.7,182,0,9.099999999999966,0.994535519125683,57798.3,95059.01999999999
0,303.8,312.9,1378,45.6,184,0,9.099999999999966,0.9945945945945946,62836.8,95059.01999999999
2,303.9,312.9,1430,53.5,189,0,9.0,0.9947368421052631,76505.0,95090.30999999998
1,303.8,312.9,1367,49.9,192,0,9.099999999999966,0.9948186528497409,68213.3,95059.01999999999
1,303.9,312.9,1526,42.5,194,0,9.0,0.9948717948717949,64855.0,95090.30999999998
1,303.9,312.8,1419,47.9,196,0,8.900000000000034,0.9949238578680203,67970.09999999999,95059.92
1,304.0,312.8,1542,42.7,198,0,8.800000000000011,0.9949748743718593,65843.40000000001,95091.2
1,304.0,312.9,1363,62.5,200,1,8.899999999999977,0.9950248756218906,85187.5,95121.59999999999
1,304.0,312.9,1313,53.9,202,0,8.899999999999977,0.9950738916256158,70770.7,95121.59999999999
0,304.0,312.9,1495,46.6,0,0,8.899999999999977,0.0,69667.0,95121.59999999999
1,304.0,313.0,1407,42.1,5,0,9.0,0.8333333333333334,59234.700000000004,95152.0
1,304.1,313.0,1566,37.2,7,0,8.899999999999977,0.875,58255.200000000004,95183.3
1,304.1,313.1,1550,30.9,9,0,9.0,0.9,47895.0,95213.71000000002
2,304.2,313.2,1396,50.5,11,0,9.0,0.9166666666666666,70498.0,95275.43999999999
2,304.3,313.3,1540,39.0,14,0,9.0,0.9333333333333333,60060.0,95337.19
2,304.2,313.2,1380,48.7,17,0,9.0,0.9444444444444444,67206.0,95275.43999999999
2,304.2,313.1,1608,31.1,20,0,8.900000000000034,0.9523809523809523,50008.8,95245.02
0,304.2,313.0,1442,40.9,23,0,8.800000000000011,0.9583333333333334,58977.799999999996,95214.59999999999
1,304.1,313.0,1408,45.3,28,0,8.899999999999977,0.9655172413793104,63782.399999999994,95183.3
2,304.0,313.0,1454,46.8,30,0,9.0,0.967741935483871,68047.2,95152.0
1,304.1,313.1,1666,34.6,33,0,9.0,0.9705882352941176,57643.600000000006,95213.71000000002
1,304.1,313.2,1366,46.6,35,0,9.099999999999966,0.9722222222222222,63655.6,95244.12000000001
1,304.2,313.2,1464,44.9,37,0,9.0,0.9736842105263158,65733.59999999999,95275.43999999999
1,304.3,313.3,1775,24.9,39,0,9.0,0.975,44197.5,95337.19
2,304.3,313.4,1482,43.8,41,0,9.099999999999966,0.9761904761904762,64911.6,95367.62
2,304.2,313.4,1411,54.8,44,0,9.199999999999989,0.9777777777777777,77322.8,95336.27999999998
1,304.2,313.3,1410,51.6,47,0,9.100000000000023,0.9791666666666666,72756.0,95305.86
2,304.1,313.3,1494,39.0,49,0,9.199999999999989,0.98,58266.0,95274.53000000001
0,304.1,313.2,1590,43.4,52,0,9.099999999999966,0.9811320754716981,69006.0,95244.12000000001
1,304.1,313.1,1327,54.1,57,0,9.0,0.9827586206896551,71790.7,95213.71000000002
1,304.1,313.1,1969,20.8,59,0,9.0,0.9833333333333333,40955.200000000004,95213.71000000002
2,304.0,313.0,1377,56.0,61,0,9.0,0.9838709677419355,77112.0,95152.0
1,304.0,313.0,1541,45.9,64,0,9.0,0.9846153846153847,70731.9,95152.0
2,304.0,313.0,1685,28.2,66,0,9.0,0.9850746268656716,47517.0,95152.0
1,304.0,313.1,1465,41.0,69,0,9.100000000000023,0.9857142857142858,60065.0,95182.40000000001
2,303.9,313.1,1483,47.2,71,0,9.200000000000045,0.9861111111111112,69997.6,95151.09
2,303.9,313.2,1570,40.7,74,0,9.300000000000011,0.9866666666666667,63899.00000000001,95181.48
1,303.9,313.2,1345,48.2,77,0,9.300000000000011,0.9871794871794872,64829.00000000001,95181.48
2,303.9,313.2,1608,40.6,79,0,9.300000000000011,0.9875,65284.8,95181.48
2,304.0,313.3,1415,52.8,82,0,9.300000000000011,0.9879518072289156,74712.0,95243.2
2,304.1,313.5,1470,45.8,85,0,9.399999999999977,0.9883720930232558,67326.0,95335.35
2,304.1,313.5,1428,39.9,88,0,9.399999999999977,0.9887640449438202,56977.2,95335.35
0,304.2,313.5,1627,32.2,91,0,9.300000000000011,0.9891304347826086,52389.4,95366.7
1,304.2,313.4,1457,49.4,96,0,9.199999999999989,0.9896907216494846,71975.8,95336.27999999998
1,304.2,313.4,1475,40.2,98,0,9.199999999999989,0.98989898989899,59295.00000000001,95336.27999999998
1,304.2,313.5,1438,50.1,100,0,9.300000000000011,0.9900990099009901,72043.8,95366.7
2,304.2,313.5,1437,47.2,102,0,9.300000000000011,0.9902912621359223,67826.40000000001,95366.7
2,304.1,313.4,1518,42.4,105,0,9.299999999999955,0.9905660377358491,64363.2,95304.94
2,304.1,313.5,1587,33.6,108,0,9.399999999999977,0.9908256880733946,53323.200000000004,95335.35
1,304.1,313.4,1399,43.7,111,0,9.299999999999955,0.9910714285714286,61136.3,95304.94
1,304.1,313.5,1469,44.6,113,0,9.399999999999977,0.9912280701754386,65517.4,95335.35
1,304.1,313.4,1374,56.6,115,0,9.299999999999955,0.9913793103448276,77768.40000000001,95304.94
1,304.0,313.3,1519,36.7,117,0,9.300000000000011,0.9915254237288136,55747.3,95243.2
1,303.9,313.2,1540,44.4,119,0,9.300000000000011,0.9916666666666667,68376.0,95181.48
1,303.9,313.3,1394,51.6,121,0,9.400000000000034,0.9918032786885246,71930.40000000001,95211.87
2,304.0,313.4,1389,45.8,123,0,9.399999999999977,0.9919354838709677,63616.2,95273.59999999999
2,304.0,313.5,1732,26.2,126,0,9.5,0.9921259842519685,45378.4,95304.0
1,304.1,313.6,1556,37.4,129,0,9.5,0.9923076923076923,58194.399999999994,95365.76000000001
2,304.1,313.6,1441,43.7,131,0,9.5,0.9924242424242424,62971.700000000004,95365.76000000001
1,304.1,313.6,1382,46.7,134,0,9.5,0.9925925925925926,64539.4,95365.76000000001
2,304.2,313.8,1481,44.9,136,0,9.600000000000023,0.9927007299270073,66496.9,95457.96
2,304.2,313.7,2113,18.4,139,0,9.5,0.9928571428571429,38879.2,95427.54
1,304.2,313.8,1401,53.9,142,0,9.600000000000023,0.993006993006993,75513.9,95457.96
1,304.1,313.6,1611,31.4,144,0,9.5,0.993103448275862,50585.399999999994,95365.76000000001
2,304.2,313.6,1512,33.4,146,0,9.400000000000034,0.9931972789115646,50500.799999999996,95397.12000000001
1,304.2,313.6,1411,46.0,149,0,9.400000000000034,0.9933333333333333,64906.0,95397.12000000001
2,304.2,313.6,1424,43.7,151,0,9.400000000000034,0.993421052631579,62228.8,95397.12000000001
1,304.2,313.6,1469,40.0,154,0,9.400000000000034,0.9935483870967742,58760.0,95397.12000000001
0,304.2,313.5,1684,29.8,156,0,9.300000000000011,0.9936305732484076,50183.200000000004,95366.7
2,304.2,313.5,1532,41.3,161,0,9.300000000000011,0.9938271604938271,63271.6,95366.7
2,304.2,313.5,1557,37.3,164,0,9.300000000000011,0.9939393939393939,58076.1,95366.7
2,304.3,313.5,1416,48.1,167,0,9.199999999999989,0.9940476190476191,68109.6,95398.05
1,304.3,313.5,1802,25.4,170,0,9.199999999999989,0.9941520467836257,45770.799999999996,95398.05
2,304.3,313.5,2245,15.1,172,0,9.199999999999989,0.9942196531791907,33899.5,95398.05
1,304.2,313.4,1434,42.5,175,0,9.199999999999989,0.9943181818181818,60945.0,95336.27999999998
2,304.1,313.3,1725,28.3,177,0,9.199999999999989,0.9943820224719101,48817.5,95274.53000000001
1,304.2,313.3,1668,35.7,180,0,9.100000000000023,0.994475138121547,59547.600000000006,95305.86
1,304.1,313.3,1452,43.9,182,0,9.199999999999989,0.994535519125683,63742.799999999996,95274.53000000001
1,304.1,313.3,1415,50.0,184,0,9.199999999999989,0.9945945945945946,70750.0,95274.53000000001
1,304.1,313.2,1824,25.8,186,0,9.099999999999966,0.9946524064171123,47059.200000000004,95244.12000000001
1,304.1,313.3,1438,45.5,188,0,9.199999999999989,0.9947089947089947,65429.0,95274.53000000001
1,304.1,313.3,1883,24.5,190,0,9.199999999999989,0.9947643979057592,46133.5,95274.53000000001
1,304.2,313.4,1735,28.9,192,0,9.199999999999989,0.9948186528497409,50141.5,95336.27999999998
1,304.3,313.5,1464,36.7,194,0,9.199999999999989,0.9948717948717949,53728.8,95398.05
2,304.3,313.6,1489,40.3,196,0,9.300000000000011,0.9949238578680203,60006.7,95428.48000000001
2,304.4,313.6,1510,38.9,199,0,9.200000000000045,0.995,58739.0,95459.84
2,304.3,313.6,1585,32.1,202,0,9.300000000000011,0.9950738916256158,50878.5,95428.48000000001
1,304.4,313.7,1509,35.0,205,1,9.300000000000011,0.9951456310679612,52815.0,95490.27999999998
1,304.4,313.6,1568,39.1,0,0,9.200000000000045,0.0,61308.8,95459.84
2,304.3,313.5,1525,42.0,2,0,9.199999999999989,0.6666666666666666,64050.0,95398.05
1,304.4,313.7,1607,33.5,5,0,9.300000000000011,0.8333333333333334,53834.5,95490.27999999998
1,304.5,313.7,1670,32.9,7,0,9.199999999999989,0.875,54943.0,95521.65
1,304.4,313.6,1585,38.9,9,0,9.200000000000045,0.9,61656.5,95459.84
1,304.4,313.6,1569,38.4,11,0,9.200000000000045,0.9166666666666666,60249.6,95459.84
1,304.4,313.6,1507,43.1,13,0,9.200000000000045,0.9285714285714286,64951.700000000004,95459.84
1,304.3,313.5,1452,41.5,15,0,9.199999999999989,0.9375,60258.0,95398.05
1,304.3,313.5,1590,29.8,17,0,9.199999999999989,0.9444444444444444,47382.0,95398.05
1,304.3,313.6,1409,56.0,19,0,9.300000000000011,0.95,78904.0,95428.48000000001
1,304.3,313.5,2643,12.7,21,0,9.199999999999989,0.9545454545454546,33566.1,95398.05
1,304.2,313.4,1644,31.7,23,0,9.199999999999989,0.9583333333333334,52114.799999999996,95336.27999999998
1,304.2,313.4,1568,37.6,25,0,9.199999999999989,0.9615384615384616,58956.8,95336.27999999998
0,304.2,313.3,1625,37.3,27,0,9.100000000000023,0.9642857142857143,60612.49999999999,95305.86
1,304.2,313.4,1482,41.4,32,0,9.199999999999989,0.9696969696969697,61354.799999999996,95336.27999999998
0,304.1,313.3,1397,49.6,34,0,9.199999999999989,0.9714285714285714,69291.2,95274.53000000001
1,304.1,313.3,1459,50.3,39,0,9.199999999999989,0.975,73387.7,95274.53000000001
1,304.2,313.4,1490,44.0,41,0,9.199999999999989,0.9761904761904762,65560.0,95336.27999999998
1,304.1,313.2,1434,50.1,43,0,9.099999999999966,0.9772727272727273,71843.40000000001,95244.12000000001
2,304.1,313.2,2028,18.9,45,0,9.099999999999966,0.9782608695652174,38329.2,95244.12000000001
1,304.2,313.3,1464,45.9,48,0,9.100000000000023,0.9795918367346939,67197.59999999999,95305.86
2,304.2,313.4,1713,23.5,50,0,9.199999999999989,0.9803921568627451,40255.5,95336.27999999998
2,304.3,313.4,1624,32.1,53,0,9.099999999999966,0.9814814814814815,52130.4,95367.62
1,304.2,313.4,1421,43.4,56,0,9.199999999999989,0.9824561403508771,61671.4,95336.27999999998
0,304.2,313.5,1546,41.4,58,0,9.300000000000011,0.9830508474576272,64004.399999999994,95366.7
1,304.2,313.4,1639,32.7,63,0,9.199999999999989,0.984375,53595.3,95336.27999999998
0,304.1,313.4,1696,29.6,65,0,9.299999999999955,0.9848484848484849,50201.600000000006,95304.94
1,304.1,313.3,1470,39.9,70,0,9.199999999999989,0.9859154929577465,58653.0,95274.53000000001
2,304.1,313.3,1480,38.4,72,0,9.199999999999989,0.9863013698630136,56832.0,95274.53000000001
2,304.2,313.4,1329,54.5,75,0,9.199999999999989,0.9868421052631579,72430.5,95336.27999999998
1,304.2,313.4,1740,28.2,78,0,9.199999999999989,0.9873417721518988,49068.0,95336.27999999998
2,304.2,313.5,1739,28.1,80,0,9.300000000000011,0.9876543209876543,48865.9,95366.7
2,304.2,313.5,1390,47.8,83,0,9.300000000000011,0.9880952380952381,66442.0,95366.7
1,304.2,313.4,1740,23.7,86,0,9.199999999999989,0.9885057471264368,41238.0,95336.27999999998
2,304.0,313.3,1844,27.1,88,0,9.300000000000011,0.9887640449438202,49972.4,95243.2
0,304.0,313.1,1388,53.2,91,0,9.100000000000023,0.9891304347826086,73841.6,95182.40000000001
0,304.0,313.2,1517,43.1,96,0,9.199999999999989,0.9896907216494846,65382.700000000004,95212.8
2,304.0,313.1,1450,42.8,101,0,9.100000000000023,0.9901960784313726,62059.99999999999,95182.40000000001
1,304.0,313.2,1584,38.7,104,0,9.199999999999989,0.9904761904761905,61300.8,95212.8
1,304.0,313.1,1720,28.7,106,0,9.100000000000023,0.9906542056074766,49364.0,95182.40000000001
1,303.9,313.1,1586,31.9,108,0,9.200000000000045,0.9908256880733946,50593.399999999994,95151.09
2,303.9,313.0,1901,22.5,110,0,9.100000000000023,0.990990990990991,42772.5,95120.7
1,304.0,313.0,1397,42.4,113,0,9.0,0.9912280701754386,59232.799999999996,95152.0
1,304.0,313.0,2012,21.1,115,0,9.0,0.9913793103448276,42453.200000000004,95152.0
1,304.0,313.0,2354,15.0,117,0,9.0,0.9915254237288136,35310.0,95152.0
1,304.0,313.1,1648,35.7,119,0,9.100000000000023,0.9916666666666667,58833.600000000006,95182.40000000001
1,304.0,313.2,1632,30.6,121,0,9.199999999999989,0.9918032786885246,49939.200000000004,95212.8
2,304.1,313.2,1427,46.9,123,0,9.099999999999966,0.9919354838709677,66926.3,95244.12000000001
1,304.1,313.2,1452,48.0,126,0,9.099999999999966,0.9921259842519685,69696.0,95244.12000000001
1,304.0,313.2,1416,46.0,128,0,9.199999999999989,0.9922480620155039,65136.0,95212.8
1,303.9,313.1,1310,62.9,130,0,9.200000000000045,0.9923664122137404,82399.0,95151.09
0,304.0,313.1,1408,39.8,132,0,9.100000000000023,0.9924812030075187,56038.399999999994,95182.40000000001
2,303.9,313.1,1668,34.4,137,0,9.200000000000045,0.9927536231884058,57379.2,95151.09
1,303.9,313.0,1551,36.8,140,0,9.100000000000023,0.9929078014184397,57076.799999999996,95120.7
0,303.9,313.0,1517,36.0,142,0,9.100000000000023,0.993006993006993,54612.0,95120.7
0,303.8,312.9,1570,35.8,147,0,9.099999999999966,0.9932432432432432,56205.99999999999,95059.01999999999
1,303.8,312.8,1428,53.3,152,0,9.0,0.9934640522875817,76112.4,95028.64000000001
1,303.8,312.8,1503,40.0,154,0,9.0,0.9935483870967742,60120.0,95028.64000000001
1,303.8,312.8,1416,58.7,156,0,9.0,0.9936305732484076,83119.2,95028.64000000001
2,303.7,312.7,1396,47.3,158,0,9.0,0.9937106918238994,66030.8,94966.98999999999
1,303.7,312.7,1335,51.1,161,0,9.0,0.9938271604938271,68218.5,94966.98999999999
2,303.7,312.6,1671,30.5,163,0,8.900000000000034,0.9939024390243902,50965.5,94936.62000000001
1,303.7,312.7,1989,22.4,166,0,9.0,0.9940119760479041,44553.6,94966.98999999999
